customer_id,customer_name,gender,birth_year,city,province,join_date,membership
C20038,Dewi Halim,Pria,1970,Medan,Sumatera Utara,2024-03-16,Basic
C20039,Budi Santoso,Pria,1986,Bekasi,Jawa Barat,2023-06-29,Silver
C20040,Lestari Hidayat,Pria,1998,Bandung,Jawa Barat,2023-11-10,Gold
C20041,Bayu Wijaya,Pria,1982,Makassar,Sulawesi Selatan,2024-04-28,Basic
C20042,Intan Santoso,Pria,2003,Depok,Jawa Barat,2024-09-19,Gold
C20043,Citra Saputra,Pria,1990,jakarta selatan,DKI Jakarta,2023-03-11,
C20044,Fitri Firmansyah,Wanita,1994,jakarta selatan,DKI Jakarta,2023-03-17,Silver
C20045,Hendra Saputra,Wanita,1992,Bandung,Jawa Barat,2024-03-25,Basic
C20046,Rizky Santoso,Wanita,1988,Bogor,Jawa Barat,2022-10-23,Basic
C20047,Wahyu Ramadhan,Pria,1979,Jakarta Selatan,DKI Jakarta,2023-11-24,Gold
C20048,Maya Halim,Wanita,1987,bandung,Jawa Barat,2022-06-14,
C20049,Wahyu Nugroho,Pria,1972,Jakarta Selatan,DKI Jakarta,2024-03-19,Silver
C20050,Bayu Utami,Wanita,1982,Bogor,Jawa Barat,2022-11-29,Silver
C20051,Nadia Setiawan,Wanita,1994,Jakarta Timur,DKI Jakarta,2023-08-04,Silver
C20052,Fajar Permana,Pria,1979,Makassar,Sulawesi Selatan,2023-08-31,Basic
C20053,Ayu Setiawan,Pria,1988,Jakbar,DKI Jakarta,2022-10-14,Basic
C20054,Ayu Saputra,Pria,1970,Jakarta Selatan,DKI Jakarta,2022-08-26,Silver
C20055,Vina Halim,Wanita,1972,Denpasar,Bali,2022-05-27,Basic
C20056,Rizky Permana,Pria,1987,Depok,Jawa Barat,2023-10-21,Basic
C20057,Siti Wijaya,Wanita,2003,Depok,Jawa Barat,2023-09-27,Silver
C20058,Yoga Firmansyah,Wanita,1975,TANGSEL,Banten,2023-03-27,Basic
C20059,Lestari Utami,Pria,1993,Jakarta Selatan,DKI Jakarta,2022-11-26,
C20060,Rani Kusuma,Wanita,1993,Jakarta Barat,DKI Jakarta,2023-06-17,Basic
C20061,Galih Nugroho,Pria,2000,Tangerang,Banten,2022-12-07,Silver
C20062,Agus Nugroho,Pria,1978,Malang,Jawa Timur,2023-09-08,Basic
C20063,Galih Firmansyah,Wanita,1997,Semarang,Jawa Tengah,2024-09-26,Basic
C20064,Fajar Rahayu,Wanita,1989,Medan,Sumatera Utara,2023-03-06,Silver
C20065,Andi Kusuma,Pria,1993,Depok,Jawa Barat,2022-06-20,Basic
C20066,Arif Wijaya,Pria,1999,Bekasi,Jawa Barat,2023-06-22,Silver
C20067,Andi Halim,Wanita,1998,Jakarta Selatan,DKI Jakarta,2022-05-04,Basic
C20068,Dimas Anggraini,,1996,Jakarta Selatan,DKI Jakarta,2024-07-04,Gold
C20069,Fajar Kusuma,Wanita,2001,Bandung,Jawa Barat,2022-02-21,Basic
C20070,Iqbal Nugroho,Wanita,1997,Jakbar,DKI Jakarta,2022-09-01,Silver
C20071,Fitri Santoso,Wanita,1996,Balikpapan,Kalimantan Timur,2023-11-02,Silver
C20072,Citra Rahayu,Wanita,1987,Jakarta Selatan,DKI Jakarta,2023-08-10,Basic
C20073,Fitri Pratama,Wanita,1999,Jakarta Timur,DKI Jakarta,2023-07-14,Gold
C20074,Fitri Rahayu,Pria,1980,Tangerang Selatan,Banten,2023-02-10,Basic
C20075,Fitri Hidayat,Pria,1994,Tangerang,Banten,2024-01-27,Basic
C20076,Hendra Setiawan,Wanita,1988,surabaya,Jawa Timur,2024-06-07,Gold
C20077,Nurul Nugroho,Pria,2003,Jaktim,DKI Jakarta,2023-01-09,Basic
C20078,Nadia Permana,Wanita,2001,Palembang,Sumatera Selatan,2022-10-06,Basic
C20079,Dimas Ramadhan,Pria,1974,SBY,Jawa Timur,2024-02-29,Basic
C20080,Nadia Setiawan,Pria,1985,jakarta selatan,DKI Jakarta,2022-06-08,Basic
C20081,Wahyu Saputra,Pria,1996,Jakarta Barat,DKI Jakarta,2022-04-10,Basic
C20082,Dewi Santoso,Pria,1994,jakarta timur,DKI Jakarta,2023-04-17,Basic
C20083,Nadia Wijaya,Wanita,1990,tangerang selatan,Banten,2023-03-25,Basic
C20084,Dimas Utami,Wanita,1994,Bandung,Jawa Barat,2024-06-17,Basic
C20085,Anisa Anggraini,Wanita,1996,yogyakarta,DI Yogyakarta,2023-08-08,Basic
C20086,Putri Utami,Wanita,2003,Makassar,Sulawesi Selatan,2024-05-13,Basic
C20087,Intan Ramadhan,Wanita,1979,Balikpapan,Kalimantan Timur,2024-06-11,Basic
C20088,Putri Rahayu,Wanita,1988,Balikpapan,Kalimantan Timur,2022-01-17,Basic
C20089,Wahyu Hidayat,,1991,Bekasi,Jawa Barat,2024-05-28,Basic
C20090,Arif Saputra,Pria,1988,Denpasar,Bali,2022-11-28,Basic
C20091,Fajar Pratama,Pria,1994,Tangerang,Banten,2024-08-07,Silver
C20092,Teguh Anggraini,,2001,Depok,Jawa Barat,2022-12-21,Basic
C20093,Fajar Saputra,Wanita,1998,Jakarta Selatan,DKI Jakarta,2023-04-11,Basic
C20094,Andi Santoso,Wanita,1996,Medan,Sumatera Utara,2023-04-22,Basic
C20095,Putri Santoso,Pria,2001,Bandung,Jawa Barat,2024-01-13,Gold
C20096,Agus Ramadhan,Wanita,1975,jakarta timur,DKI Jakarta,2023-06-10,Basic
C20097,Teguh Halim,Wanita,1972,Depok,Jawa Barat,2022-12-04,Silver
C20098,Galih Ramadhan,Pria,1991,Semarang,Jawa Tengah,2024-05-19,Basic
C20099,Hendra Santoso,Wanita,1986,Surabaya,Jawa Timur,2023-07-03,Silver
C20100,Nurul Setiawan,Pria,1972,Jakarta Selatan,DKI Jakarta,2024-01-24,Basic
C20101,Siti Wijaya,Pria,1993,Semarang,Jawa Tengah,2023-11-09,Gold
C20102,Agus Utami,Wanita,1999, Bandung,Jawa Barat,2022-07-26,Basic
C20103,Bayu Nugroho,Wanita,1993,Semarang,Jawa Tengah,2023-09-27,Basic
C20104,Hendra Saputra,Wanita,1974,Jakarta Barat,DKI Jakarta,2024-02-01,Basic
C20105,Sari Setiawan,Wanita,2001,Tangerang Selatan,Banten,2023-07-16,Basic
C20106,Intan Utami,Pria,1973,Tangerang,Banten,2024-05-03,Basic
C20107,Nadia Santoso,Pria,1983,Bogor,Jawa Barat,2023-01-22,Basic
C20108,Rizky Anggraini,Pria,1999,Bekasi,Jawa Barat,2024-02-22,Basic
C20109,Intan Permana,Wanita,1982,Malang,Jawa Timur,2024-03-07,Gold
C20110,Vina Nugroho,Pria,1997,Depok,Jawa Barat,2023-07-02,Silver
C20111,Lestari Saputra,,1992,Medan,Sumatera Utara,2022-08-19,Gold
C20112,Maya Halim,Wanita,1991,Tangerang,Banten,2023-04-15,Gold
C20113,Bayu Setiawan,Wanita,1995,Denpasar,Bali,2023-02-25,Basic
C20114,Anisa Kusuma,Wanita,1999,Jakarta Timur,DKI Jakarta,2023-03-25,
C20115,Maya Ramadhan,Pria,1985,Jakarta Timur,DKI Jakarta,2024-05-11,Gold
C20116,Dewi Utami,Pria,1981,Tangerang,Banten,2023-09-13,Basic
C20117,Maya Saputra,Wanita,1980,Tangerang,Banten,2024-04-04,Basic
C20118,Intan Ramadhan,Pria,1991,Bandung,Jawa Barat,2022-07-12,Basic
C20119,Reza Kusuma,Wanita,1982,Bekasi,Jawa Barat,2023-05-18,Basic
C20120,Nurul Nugroho,,1978,Bandung,Jawa Barat,2022-10-14,Basic
C20121,Intan Kusuma,Wanita,1985,Jakbar,DKI Jakarta,2022-12-15,Basic
C20122,Sari Wijaya,Wanita,1976,Tangerang,Banten,2024-01-22,
C20123,Fajar Pratama,Wanita,1981,Makassar,Sulawesi Selatan,2023-07-15,Basic
C20124,Intan Firmansyah,Wanita,1995,Jakarta Selatan,DKI Jakarta,2023-05-31,Basic
C20125,Teguh Setiawan,Wanita,1993,Bekasi,Jawa Barat,2023-01-15,Basic
C20126,Yoga Setiawan,Pria,1984,Bandung,Jawa Barat,2022-01-12,Silver
C20127,Vina Nugroho,Pria,1982,Jakarta Barat,DKI Jakarta,2023-11-13,Silver
C20128,Reza Pratama,Pria,1993,Depok,Jawa Barat,2023-01-03,Basic
C20129,Arif Nugroho,Wanita,1988,Jakarta Barat,DKI Jakarta,2024-09-14,Basic
C20130,Yoga Pratama,Wanita,1983,Jakarta Timur,DKI Jakarta,2023-08-09,Basic
C20131,Nurul Setiawan,Wanita,2002,Medan,Sumatera Utara,2022-10-19,Basic
C20132,Yoga Pratama,Wanita,2003,Bandung,Jawa Barat,2024-06-08,Basic
C20133,Arif Permana,Wanita,1978,Semarang,Jawa Tengah,2022-08-20,Silver
C20134,Bayu Santoso,,1972, Bandung,Jawa Barat,2022-04-13,Basic
C20135,Hendra Firmansyah,Pria,1990,Surabaya,Jawa Timur,2022-10-18,Basic
C20136,Siti Pratama,Pria,1991,Bandung,Jawa Barat,2024-08-24,Gold
C20137,Sari Utami,Wanita,1992,Jakarta Timur,DKI Jakarta,2024-03-16,Silver
C20138,Wahyu Pratama,Wanita,1987,BANDUNG,Jawa Barat,2023-11-24,Basic
C20139,Galih Anggraini,Wanita,2001,Surabaya,Jawa Timur,2023-11-29,Silver
C20140,Dewi Wijaya,Pria,1972,Semarang,Jawa Tengah,2023-09-17,Gold
C20141,Maya Halim,Wanita,2000,Bogor,Jawa Barat,2022-06-03,Basic
C20142,Nurul Utami,Pria,1983,jakarta barat,DKI Jakarta,2024-02-24,Silver
C20143,Rani Ramadhan,Pria,1982,Jakarta Barat,DKI Jakarta,2023-06-01,Basic
C20144,Rani Firmansyah,Wanita,1990,Balikpapan,Kalimantan Timur,2023-07-30,Basic
C20145,Galih Saputra,Pria,1990,Balikpapan,Kalimantan Timur,2022-07-07,Basic
C20146,Arif Saputra,Pria,1973,Depok,Jawa Barat,2024-06-15,Silver
C20147,Bayu Pratama,Wanita,1987,Jakarta Selatan,DKI Jakarta,2023-06-11,Silver
C20148,Dewi Firmansyah,Pria,1988,Bekasi,Jawa Barat,2024-07-13,Basic
C20149,Putri Permana,Pria,1995,Tangerang,Banten,2024-08-28,Basic
C20150,Dimas Setiawan,Wanita,2003,Medan,Sumatera Utara,2022-01-26,Basic
C20151,Bayu Kusuma,Wanita,1982,Bogor,Jawa Barat,2024-03-28,Basic
C20152,Rizky Setiawan,Wanita,1999,BANDUNG,Jawa Barat,2022-01-01,Basic
C20153,Nadia Santoso,Wanita,2003,Jakarta Timur,DKI Jakarta,2024-07-30,Gold
C20154,Agus Santoso,Wanita,1972,Bandung,Jawa Barat,2022-04-10,Basic
C20155,Fajar Utami,,1972,jakarta selatan,DKI Jakarta,2022-06-20,Basic
C20156,Nurul Saputra,Pria,1982,Depok,Jawa Barat,2024-05-25,Basic
C20157,Lestari Setiawan,,1973,Bogor,Jawa Barat,2022-09-20,Silver
C20158,Nadia Utami,Wanita,1983,Bandung,Jawa Barat,2023-10-24,Silver
C20159,Dewi Utami,Pria,2000,Jakarta Barat,DKI Jakarta,2023-08-23,Silver
C20160,Andi Pratama,Wanita,1984,Semarang,Jawa Tengah,2022-10-15,Silver
C20161,Siti Setiawan,Wanita,1999,Medan,Sumatera Utara,2023-09-24,Basic
C20162,Andi Pratama,Pria,1993,Bogor,Jawa Barat,2022-07-24,Silver
C20163,Lestari Setiawan,Wanita,1970,JAKARTA SELATAN,DKI Jakarta,2022-10-25,Basic
C20164,Maya Wijaya,Wanita,1976,Jakarta Selatan,DKI Jakarta,2023-11-21,Silver
C20165,Andi Wijaya,Pria,1995,Bandung,Jawa Barat,2024-08-30,Basic
C20166,Dewi Wijaya,Pria,1987,Jakarta Selatan,DKI Jakarta,2022-11-29,Gold
C20167,Lestari Utami,Pria,1990,Balikpapan,Kalimantan Timur,2024-04-07,Basic
C20168,Reza Kusuma,Wanita,1977,Tangsel,Banten,2023-07-29,Basic
C20169,Wahyu Permana,Pria,2003, Bandung,Jawa Barat,2022-04-14,
C20170,Galih Halim,Wanita,1984,Jakarta Timur,DKI Jakarta,2024-08-31,Basic
C20171,Dewi Wijaya,Wanita,2002,Jakarta Selatan,DKI Jakarta,2022-12-14,Basic
C20172,Rizky Pratama,Wanita,1991,Jakarta Selatan,DKI Jakarta,2022-04-15,
C20173,Rani Anggraini,Pria,1979,Semarang,Jawa Tengah,2024-06-25,Basic
C20174,Dewi Utami,Pria,2002,Jakarta Selatan,DKI Jakarta,2022-08-27,Silver
C20175,Nurul Kusuma,,1993,Surabaya,Jawa Timur,2022-05-08,Basic
C20176,Ayu Firmansyah,,1998,Tangerang,Banten,2023-09-27,Silver
C20177,Dimas Nugroho,Pria,1973,Semarang,Jawa Tengah,2022-05-21,Gold
C20178,Wahyu Firmansyah,Wanita,1972,Bekasi,Jawa Barat,2022-01-18,Silver
C20179,Wahyu Wijaya,Wanita,1989,Surabaya,Jawa Timur,2024-08-13,Silver
C20180,Nurul Permana,Wanita,1978,jakarta barat,DKI Jakarta,2022-04-30,
C20181,Agus Setiawan,Wanita,1974,Denpasar,Bali,2024-02-12,Basic
C20182,Yoga Anggraini,Pria,1984,Surabaya,Jawa Timur,2023-06-11,Basic
C20183,Dimas Halim,Wanita,1985,Medan,Sumatera Utara,2023-04-22,Silver
C20184,Rizky Nugroho,Pria,1976,Jakarta Selatan,DKI Jakarta,2023-10-17,Basic
C20185,Iqbal Santoso,Wanita,1987,Bandung,Jawa Barat,2024-06-25,Silver
C20186,Rani Ramadhan,Wanita,1993,Tangerang,Banten,2022-04-22,Basic
C20187,Nurul Kusuma,Pria,1985,tangerang selatan,Banten,2024-03-26,Gold
C20188,Arif Wijaya,Pria,1983,Tangerang Selatan,Banten,2022-02-15,
C20189,Putri Pratama,Pria,1996,Bandung,Jawa Barat,2022-08-05,Silver
C20190,Bayu Firmansyah,Wanita,1985,Tangerang,Banten,2023-10-31,Basic
C20191,Hendra Utami,Wanita,1995,Jakarta Barat,DKI Jakarta,2024-04-02,Basic
C20192,Iqbal Santoso,Wanita,1982,Tangerang Selatan,Banten,2024-08-04,Silver
C20193,Nurul Wijaya,Wanita,1996,Jakarta Timur,DKI Jakarta,2022-08-28,Gold
C20194,Wahyu Halim,Wanita,1985,Tangerang Selatan,Banten,2024-04-12,Basic
C20195,Putri Nugroho,Wanita,2002,Palembang,Sumatera Selatan,2023-02-06,Silver
C20196,Vina Halim,Pria,2003,Bekasi,Jawa Barat,2022-11-11,Basic
C20197,Yoga Utami,Wanita,1974,Makassar,Sulawesi Selatan,2022-05-30,Silver
C20198,Dimas Santoso,Pria,1976,Depok,Jawa Barat,2022-10-29,Basic
C20199,Arif Ramadhan,Wanita,1976,Semarang,Jawa Tengah,2023-03-09,Silver
C20200,Nadia Anggraini,Wanita,1997,Tangerang Selatan,Banten,2022-12-08,Basic
C20201,Arif Nugroho,Wanita,2002,Bekasi,Jawa Barat,2023-03-01,Gold
C20202,Anisa Utami,Wanita,1975,Tangerang Selatan,Banten,2022-01-23,Silver
C20203,Dewi Utami,Wanita,1996,Palembang,Sumatera Selatan,2022-01-24,Basic
C20204,Budi Pratama,Wanita,1979,Bekasi,Jawa Barat,2024-05-25,Basic
C20205,Andi Halim,Pria,1994,TANGSEL,Banten,2022-04-12,Basic
C20206,Galih Utami,Pria,1977,Depok,Jawa Barat,2022-03-11,Basic
C20207,Anisa Anggraini,Wanita,1982,SBY,Jawa Timur,2022-12-25,Basic
C20208,Rani Saputra,Wanita,1974,Bekasi,Jawa Barat,2024-08-24,Basic
C20209,Fajar Firmansyah,Pria,1999,Jakarta Timur,DKI Jakarta,2023-09-03,
C20210,Vina Santoso,Wanita,1984,Bogor,Jawa Barat,2024-02-25,Basic
C20211,Vina Halim,Pria,1983,Palembang,Sumatera Selatan,2024-08-29,Basic
C20212,Putri Permana,Pria,1991,Semarang,Jawa Tengah,2024-03-18,
C20213,Vina Santoso,Wanita,2003,Tangerang,Banten,2023-12-28,Gold
C20214,Fajar Santoso,Wanita,1986,SBY,Jawa Timur,2024-08-05,Silver
C20215,Fitri Kusuma,Wanita,1970,Makassar,Sulawesi Selatan,2024-08-01,Basic
C20216,Fitri Hidayat,Wanita,1986,Jakarta Timur,DKI Jakarta,2024-02-07,Basic
C20217,Maya Rahayu,Wanita,2002,Jakarta Barat,DKI Jakarta,2024-09-08,Basic
C20218,Nadia Nugroho,Pria,1991,Surabaya,Jawa Timur,2022-11-22,Silver
C20219,Anisa Firmansyah,Wanita,2003,Depok,Jawa Barat,2024-04-05,Silver
C20220,Maya Halim,,1981,Jakarta Selatan,DKI Jakarta,2022-08-24,Basic
C20221,Yoga Permana,,1975,JAKARTA BARAT,DKI Jakarta,2024-09-18,Basic
C20222,Nurul Anggraini,Wanita,1992,Tangerang,Banten,2023-04-19,Silver
C20223,Vina Saputra,Pria,1990,Jakarta Barat,DKI Jakarta,2022-12-05,Basic
C20224,Nurul Utami,Wanita,1999,jakarta timur,DKI Jakarta,2022-05-13,Basic
C20225,Teguh Kusuma,Wanita,1984,Medan,Sumatera Utara,2023-04-30,Basic
C20226,Fajar Anggraini,Wanita,1986,Tangerang,Banten,2022-05-07,Basic
C20227,Fitri Anggraini,Pria,1982,Malang,Jawa Timur,2024-09-21,
C20228,Agus Santoso,Pria,1987,Balikpapan,Kalimantan Timur,2022-04-14,Basic
C20229,Wahyu Wijaya,Wanita,2001,Depok,Jawa Barat,2024-07-31,Basic
C20230,Rizky Rahayu,Pria,1995,Bogor,Jawa Barat,2023-04-30,Basic
C20231,Sari Kusuma,Wanita,1996,JAKARTA SELATAN,DKI Jakarta,2023-03-20,Silver
C20232,Hendra Anggraini,Pria,2000,Bandung,Jawa Barat,2022-07-08,Basic
C20233,Putri Pratama,Wanita,1984,Bandung,Jawa Barat,2022-05-19,Basic
C20234,Iqbal Utami,Wanita,1989,Jakarta Timur,DKI Jakarta,2023-02-24,Basic
C20235,Andi Saputra,Wanita,1996,Tangerang Selatan,Banten,2022-04-02,Basic
C20236,Dewi Pratama,,1971,Medan,Sumatera Utara,2022-05-11,Basic
C20237,Wahyu Permana,,1997,Balikpapan,Kalimantan Timur,2023-12-19,Basic
C20238,Lestari Hidayat,Pria,1970,Jaksel,DKI Jakarta,2022-03-02,Basic
C20239,Dimas Santoso,Pria,1989,Balikpapan,Kalimantan Timur,2022-03-01,Basic
C20240,Ayu Utami,Pria,1992,Bandung,Jawa Barat,2023-01-07,Silver
C20241,Vina Permana,Wanita,1976,Palembang,Sumatera Selatan,2023-06-14,Gold
C20242,Yoga Santoso,Wanita,1970,Bekasi,Jawa Barat,2024-03-26,Basic
C20243,Yoga Permana,Pria,1975,Tangerang Selatan,Banten,2023-03-26,Gold
C20244,Iqbal Nugroho,Pria,1979,Bandung,Jawa Barat,2023-09-16,Basic
C20245,Ayu Rahayu,Pria,1993,Surabaya,Jawa Timur,2022-06-24,Gold
C20246,Putri Pratama,Wanita,2000,surabaya,Jawa Timur,2023-03-02,Basic
C20247,Wahyu Ramadhan,Pria,1998,Surabaya,Jawa Timur,2023-01-17,Basic
C20248,Vina Ramadhan,Wanita,1985,Jakarta Selatan,DKI Jakarta,2024-05-20,Silver
C20249,Nadia Hidayat,Wanita,1978,Bekasi,Jawa Barat,2024-04-24,Silver
C20250,Fajar Pratama,Wanita,1979,Jakarta Selatan,DKI Jakarta,2024-05-18,Basic
C20251,Fajar Nugroho,,1990,Jakarta Barat,DKI Jakarta,2023-04-21,Basic
C20252,Ayu Wijaya,Wanita,1970,Bekasi,Jawa Barat,2023-02-18,Basic
C20253,Anisa Rahayu,Pria,1994,Tangerang Selatan,Banten,2023-10-09,Silver
C20254,Dewi Firmansyah,Wanita,2000,Surabaya,Jawa Timur,2022-11-04,Basic
C20255,Vina Utami,Wanita,1984,Jakarta Barat,DKI Jakarta,2024-04-13,Silver
C20256,Budi Wijaya,Wanita,1976,SBY,Jawa Timur,2022-12-23,Basic
C20257,Budi Pratama,Pria,1976,Jakarta Timur,DKI Jakarta,2024-02-03,Basic
C20258,Lestari Utami,Pria,2002,Jaktim,DKI Jakarta,2022-09-28,Basic
C20259,Hendra Kusuma,Pria,1976,Tangerang,Banten,2024-06-17,
C20260,Fitri Halim,Pria,2000,Medan,Sumatera Utara,2023-04-14,Basic
C20261,Citra Rahayu,Pria,1997,Depok,Jawa Barat,2023-07-09,Gold
C20262,Galih Kusuma,Wanita,1989,Tangerang Selatan,Banten,2022-12-03,Basic
C20263,Dewi Kusuma,Pria,2003,Bogor,Jawa Barat,2023-11-07,Silver
C20264,Teguh Hidayat,,1981,Tangerang Selatan,Banten,2024-04-29,Basic
C20265,Arif Kusuma,Wanita,1985,Tangerang Selatan,Banten,2024-03-02,Basic
C20266,Dimas Firmansyah,Wanita,1988,Depok,Jawa Barat,2024-05-25,Basic
C20267,Bayu Santoso,Wanita,1995,Jakarta Barat,DKI Jakarta,2023-02-14,Gold
C20268,Siti Santoso,Wanita,1985,Palembang,Sumatera Selatan,2024-06-10,Basic
C20269,Wahyu Ramadhan,,1975,Tangsel,Banten,2023-11-27,Basic
C20270,Nadia Ramadhan,Wanita,1987,Depok,Jawa Barat,2023-06-19,Basic
C20271,Intan Firmansyah,Wanita,1984,Tangerang Selatan,Banten,2022-07-19,Basic
C20272,Rani Santoso,Wanita,1995,Semarang,Jawa Tengah,2024-08-11,Silver
C20273,Arif Kusuma,Pria,1987,bandung,Jawa Barat,2022-12-09,Basic
C20274,Maya Halim,Wanita,1995,Malang,Jawa Timur,2022-11-18,Basic
C20275,Rizky Utami,Wanita,1971,Balikpapan,Kalimantan Timur,2023-05-15,Basic
C20276,Reza Rahayu,Pria,1977,Tangerang Selatan,Banten,2022-04-02,Basic
C20277,Iqbal Halim,Wanita,1987,Jakarta Selatan,DKI Jakarta,2024-04-01,Gold
C20278,Teguh Anggraini,Pria,1995,Jakarta Timur,DKI Jakarta,2022-06-05,Basic
C20279,Wahyu Utami,Wanita,1971,Bogor,Jawa Barat,2022-09-16,Gold
C20280,Galih Rahayu,Pria,1970,Tangerang,Banten,2022-01-09,Basic
C20281,Hendra Nugroho,Pria,1974,JAKARTA SELATAN,DKI Jakarta,2023-03-24,Basic
C20282,Rizky Rahayu,Pria,1995,Depok,Jawa Barat,2023-07-18,Basic
C20283,Iqbal Kusuma,Wanita,2003,Bandung,Jawa Barat,2022-05-13,Basic
C20284,Teguh Permana,Wanita,1972,jakarta timur,DKI Jakarta,2023-11-18,Silver
C20285,Sari Rahayu,Pria,1990,Makassar,Sulawesi Selatan,2022-02-06,Silver
C20286,Fajar Halim,Pria,1989,Yogyakarta,DI Yogyakarta,2024-01-26,Basic
C20287,Ayu Santoso,Wanita,2003,Jakarta Timur,DKI Jakarta,2024-05-09,Silver
C20288,Putri Wijaya,Pria,1982,Malang,Jawa Timur,2023-01-26,Silver
C20289,Lestari Permana,Wanita,1993,Jakarta Selatan,DKI Jakarta,2024-09-16,Basic
C20290,Nurul Utami,Pria,2001,Palembang,Sumatera Selatan,2024-04-18,Basic
C20291,Yoga Nugroho,Pria,1971,Bekasi,Jawa Barat,2022-06-12,Basic
C20292,Sari Firmansyah,Pria,1979,Bandung,Jawa Barat,2023-11-01,Silver
C20293,Hendra Saputra,Pria,1982,Tangerang,Banten,2024-06-09,Silver
C20294,Bayu Hidayat,Pria,1975,Depok,Jawa Barat,2022-08-16,
C20295,Citra Saputra,Pria,1990,bandung,Jawa Barat,2024-03-30,Basic
C20296,Reza Utami,Wanita,1995,Jakarta Timur,DKI Jakarta,2023-07-05,Basic
C20297,Budi Kusuma,Pria,1986,Tangerang,Banten,2024-04-19,Silver
C20298,Bayu Halim,Pria,1976,Bogor,Jawa Barat,2022-09-28,Silver
C20299,Bayu Utami,Pria,2003,Jakarta Selatan,DKI Jakarta,2024-03-31,Basic
C20300,Anisa Kusuma,Pria,1987,Bekasi,Jawa Barat,2024-09-25,Silver
C20301,Arif Setiawan,Pria,1984,Medan,Sumatera Utara,2022-02-04,Basic
C20302,Rani Wijaya,Wanita,1986,Medan,Sumatera Utara,2022-03-12,Basic
C20303,Intan Utami,Pria,1985,Jakarta Timur,DKI Jakarta,2024-07-17,Basic
